meaning_ru,id,Bagvalal (Magomedova 2004),Bagvalal (Magomedova 2004) bor,"Botlikh (Saidova, Abusov 2012)","Botlikh (Saidova, Abusov 2012) bor",Godoberi (Saidova 2006),Godoberi (Saidova 2006) bor,"Karata-Tukita (Magomedova, Khalidova 2001)","Karata-Tukita (Magomedova, Khalidova 2001) bor",Botlikh (Alekseev 2006),Botlikh (Alekseev 2006) bor,"Akhvakh (Magomedova, Abdulayeva 2007)","Akhvakh (Magomedova, Abdulayeva 2007) bor",Andi (Salimov 2010),Andi (Salimov 2010) bor,"Tokita (Magomedova, Khalidova 2001)","Tokita (Magomedova, Khalidova 2001) bor",Chamalal (Magomedova 1999),Chamalal (Magomedova 1999) bor,Tindi (Magomedova 2003),Tindi (Magomedova 2003) bor,n_languages
укладочный,1,,,,,,,,,массиха́б,native,,,,,,,,,,,1
укладывание,1,,,,,,,,,,,кIва'майе,native,,,,,,,,,1
укладывать,5,,,,,,,,,,,,,,,,,ГОЦНА̅́ЛА,native,,,1
укладывать кого-л.,1,,,,,,,,,,,,,,,,,,,ГЪОРД/Ā́ЙЛЪ’А,native,1
укладываться спать,1,,,,,,,,,,,ах̄илу'/рулъIа,native,,,,,,,,,1
уклон,1,,,,,,,,,,,,,,,,,,,X̅ВĀР¹,native,1
уклониться,1,,,,,,,,,в=орчIи́,native,,,,,,,,,,,1
уклоняться,1,,,,,,,,,,,,,,,,,БИЧIИЧIА̅НА,native,,,1
уклоняться от чего-л.,1,,,,,,,,,,,,,,,,,,,КЬУРКЬУ́Р/ӢЛЪ’А,native,1
"укол, инъекция",1,,,,,,,ОКО'Л,rus,,,,,,,,,,,,,1
уколоть,1,,,,,,,,,,,,,ХЪОБЩУННУ,native,,,,,,,1
"укор, порицание",1,,,,,,,Г|АЙБ,arab,,,,,,,,,,,,,1
укорачивать,2,,,,,,,,,,,,,,,,,БАША́КIВГЬУ̅ЛА,native,,,1
укорачиваться,2,,,,,,,,,,,,,,,,,БАША́КIВЛЪУ̅ЛА,native,,,1
укорениться,1,,,,,Б/ЕЛIИ́,native,,,,,,,,,,,,,,,1
украдкой,1,,,,,,,,,къича́да,native,,,,,,,,,,,1
украинец,2,,,украи́нав,rus,,,,,,,,,,,,,,,,,1
украинцы,2,,,,,,,,,украи́нал,rus,,,,,,,,,,,1
украси...,1,,,,,,,,,,,,,БАГЪУЛДДУ,native,,,,,,,1
украсить,1,,,,,,,,,къайда́й,native,,,,,,,,,,,1
украситься,2,,,,,,,,,чIиквари́,native,,,,,,,,,,,1
украсть,1,,,,,,,,,,,,,БЕКЪАШДУ,native,,,,,,,1
украшенный,1,,,,,,,,,,,реще'ра̄да/б/е,native,,,,,,,,,1
"укрепление, речка",1,,,,,,,,,,,,,БУЦУР,native,,,,,,,1
укреплённый участок сада,1,,,,,,,,,камса,native,,,,,,,,,,,1
"укреплять, закреплять",1,,,,,,,КЪА¯'ЛЪА,native,,,,,,,,,,,,,1
укромный,1,,,,,,,,,гьардукьи́ бахихичIа́б,native,,,,,,,,,,,1
укротить,1,,,,,,,,,ругьуна́й,native,,,,,,,,,,,1
укрощать,2,,,,,,,,,,,регье'но̄/рулъIа,native,,,,,,,,,1
укрупнить,1,,,,,,,,,б=очIуха́й,native,,,,,,,,,,,1
укрупниться,1,,,,,,,,,б=очIухи́,native,,,,,,,,,,,1
укрупнять,1,,,,,,,Б/ИША¯'/ЛЪА,native,,,,,,,,,,,,,1
укрывание,1,,,,,,,,,,,,,,,,,,,Б/ÁЛИЛАР,native,1
укрывательство,1,,,,,,,,,в=а́къащайр,native,,,,,,,,,,,1
укрывать,2,,,,,,,,,,,,,,,,,БИЪА̅́ЛА,native,,,1
укрывать кого-л.,4,,,,,,,,,,,,,,,,,,,Б/ÁЛ/ӢЛЪ’А/Б/Ā́ЙЛЪ’А²,native,1
укрываться,1,,,,,,,,,,,шину'/рулъIа,native,,,,,,,,,1
укрытие от дождя,1,,,,,,,,,,,,,,,,,,,ГЬÁКЪВА,native,1
укрыть,1,,,,,,,,,бакъаща́й,native,,,,,,,,,,,1
уксус,3,,,,,,,,,,,,,,,,,,,КЪÁᴴЦIА,native,1
укус,2,,,,,,,,,,,,,,,,,,,ЧIУ́НАР,native,1
укусить кого-л./что-л.,1,,,,,,,,,,,,,,,,,КЪА̅НА,native,,,1
укусить многократно,1,,,,,,,,,,,,,КЪАЦӀЕШДУ,native,,,,,,,1
"укусить, откусить",1,,,,,,,КЪВА'Р/АЛЪА,native,,,,,,,,,,,,,1
"укусить, раскусывать, перекусить",1,,,,,,,,,,,,,КЪАММУ,native,,,,,,,1
укусы жалом,1,,,,,,,,,,,чIи'найе,native,,,,,,,,,1
укутать,1,,,,,,,,,в=аращи́,native,,,,,,,,,,,1
уладиться,1,,,,,,,,,тIопи́,native,,,,,,,,,,,1
улаживание,1,,,,,,,,,,,б/итIе̄'с̄е,native,,,,,,,,,1
улаживаться,2,,,,,,,БИТ|Е-БИ-ЩЕЛЪ/АЛЪА,native,,,,,,,,,,,,,1
уламывать,1,,,,,,,,,,,чу'члъилотIо̄/рулъIа,native,,,,,,,,,1
улар кавказский,1,,,,,,,,,,,чваᴴча,native,,,,,,,,,1
улей,2,ГЬАᴴДÁ,native,,,,,,,,,,,,,,,,,,,1
улица снаружи,1,,,,,,,,,,,,,КЪВАТӀА,native,,,,,,,1
уличать во лжи,1,,,,,,,ГЬАᴴЧ|ВА¯'/ЛЪА,native,,,,,,,,,,,,,1
уловки,1,,,,,НÁКЪИЩА,arab,,,,,,,,,,,,,,,1
уложить,2,,,,,,,,,варахха́й,native,,,,,,,,,,,1
уложиться,2,,,б/ерахх/и́,native,,,,,,,,,,,,,,,,,1
уложиться на поверхности,1,,,щард/и́,native,,,,,,,,,,,,,,,,,1
улучшать,1,,,,,,,,,,,шолъо̄'/рулъIа,native,,,,,,,,,1
улучшение,2,,,,,,,,,,,шо'лъе,native,,,,,,,,,1
улучшить материальное положение,1,,,зирд/и́,native,,,,,,,,,,,,,,,,,1
улучшиться,2,,,,,,,,,,,,,ШУБДДУ,native,,,,,,,1
улучшиться (здоровье),1,,,,,,,,,,,,,РОКӀОКВАНЧӀИДУ,native,,,,,,,1
улыбаться,3,,,,,,,,,,,,,,,,,БЍХ̅ЛА,native,,,1
улыбаться многократно,1,,,,,,,,,,,,,ККИМККИШДУ,native,,,,,,,1
улыбка,1,,,,,,,,,,,,,ККИМККИРИ,native,,,,,,,1
улыбнуться,1,,,,,,,,,ккимди́,native,,,,,,,,,,,1
"улыбнуться, улыбаться",1,,,,,,,,,,,,,ККИММУ,native,,,,,,,1
ум,2,,,цIцIуду́рир,native,,,,,,,,,,,,,,,,,1
"ум, здравый смысл, разум, рассудок",1,,,,,,,Г|А'КЪЛУ,arab,,,,,,,,,,,,,1
"ум, рассудок",1,,,,,,,ГЬА'ДОЪА,native,,,,,,,,,,,,,1
ум; сообразительность,1,,,,,,,Ц¯|ОДО'РЛЪЕР,native,,,,,,,,,,,,,1
умалишенный,1,П́ИКРОВАЧIУ/Б,arab,,,,,,,,,,,,,,,,,,,1
умелый,2,МАШКЪ́ИЛИДА/В,arab,,,,,,,,,,,,,,,,,,,1
умение,5,,,,,,,,,,,пиша',native,,,,,,,,,1
умение вести себя в обществе,1,,,,,,,,,,,,,,,,,,,Б/АКIВИЛЪ’Á-Б/АЛIВИЛЪ’А,native,1
"умение, искусство",1,,,,,,,ГЬУНА'Р,pers,,,,,,,,,,,,,1
"умение, способность",1,,,,,,,МАШХЪЕ'Л,arab,,,,,,,,,,,,,1
умения,1,,,пиша́,native,,,,,,,,,,,,,,,,,1
уменьшать,4,МУКIÉЛГЬА/ЙЛА,native,,,,,,,,,,,,,,,,,,,1
уменьшать,3,,,,,,,,,,,,,,,,,МИ́КIИГЬЛА,native,,,1
уменьшать в объеме,1,,,,,,,,,,,,,,,,,,,И́Т/ĀЙЛЪ’А,native,1
"уменьшать, приуменьшать",1,,,,,,,МИК|ВА¯'/ЛЪА,native,,,,,,,,,,,,,1
уменьшаться,4,,,,,ЧУЧИ́ᴴ,native,,,,,,,,,,,,,,,1
уменьшаться,3,,,,,,,МИ'К|ЕЛЪ/АЛЪА,native,,,,,,,,,,,,,1
уменьшение,4,,,,,,,,,,,чичи'райе,native,,,,,,,,,1
уменьшение,2,МУКÍУЛГЬАЛАР¹,native,,,,,,,,,,,,,,,,,,,1
уменьшение в весе,1,ПÁПАЛГЬАР,native,,,,,,,,,,,,,,,,,,,1
уменьшение в весе; легковесность,1,,,,,,,,,,,,,,,,,,,ПÁПАЛЪАР,native,1
уменьшение в объеме,1,,,,,,,,,,,,,,,,,,,И́ТАЛАР,native,1
"уменьшение высоты, объема",1,ИТ́УЛГЬАР,native,,,,,,,,,,,,,,,,,,,1
уменьшительный,1,,,,,,,,,асара́йха=б,?,,,,,,,,,,,1
уменьшиться,3,,,,,,,,,,,,,КОЛЪИЛДДУ,native,,,,,,,1
уменьшиться,1,,,,,,,,,асари́,?,,,,,,,,,,,1
умереть,6,,,,,,,,,тIагIи́,native,,,,,,,,,,,1
умереть за работой,1,,,,,,,,,гьирчIчIуда виъи,native,,,,,,,,,,,1
умертвить,1,,,,,,,,,виъа́й,native,,,,,,,,,,,1
умершвление,1,Б/ИЧIИЧIÁЛАР,native,,,,,,,,,,,,,,,,,,,1
умершвлять,1,Б/ИЧIÁ/ЙЛА,native,,,,,,,,,,,,,,,,,,,1
умершвлять кого-л.,1,,,,,,,,,,,,,,,,,,,Б/ИЧIИЧI/Ā́ЙЛЪ’А,native,1
умерщвление,2,,,,,,,,,,,,,,,,,,,Б/ИЧIИЧIÁЛАР,native,1
умерщвлять,2,,,,,,,,,,,,,,,,,БИЧIИЧIА̅́ЛА,native,,,1
умерять,2,,,,,,,,,,,чичиро̄'/рулъIа,native,,,,,,,,,1
"умерять, смягчать",1,,,,,,,,,,,,,,,,,,,ТÉГЬИЙ/ĀЙЛЪ’А,native,1
уместиться,1,,,,,,,,,микьи́,native,,,,,,,,,,,1
уместность,1,РÁКЪАН²,native,,,,,,,,,,,,,,,,,,,1
уместный,1,,,,,ДУРУ́СА/Б,pers,,,,,,,,,,,,,,,1
"уметь, обладать умением",1,,,,,,,Б/И'ЪА/ЛЪА,native,,,,,,,,,,,,,1
"уметь, суметь",1,,,,,,,,,,,,,БАЖАРУННУ,native,,,,,,,1
умещаться,1,,,ми́кьата/лъи,native,,,,,,,,,,,,,,,,,1
умилостивить,1,,,,,,,,,гье́ру вулIа́й,native,,,,,,,,,,,1
уминать,4,,,,,,,,,,,,,,,,,,,К̅ВÀЪАР,native,1
"уминать, уплотнять",1,,,,,,,БИС/А¯'ЛЪА²,native,,,,,,,,,,,,,1
умирать с голоду,1,,,,,,,,,,,,,,,,,,,БĀ́ХЪА,native,1
"умирать, гибнуть",1,,,,,,,Б/ИЧ|/А'ЛЪА,native,,,,,,,,,,,,,1
умнеть,2,,,,,ЦIОДОРЛЪИ́,native,,,,,,,,,,,,,,,1
"умник, умница",1,,,,,,,"Г|УБУ'Р ,",native,,,,,,,,,,,,,1
умница,1,ГIАМÁЛБЕРЦЕН,arab,,,,,,,,,,,,,,,,,,,1
умножать,6,,,чIчIабд/и́,native,,,,,,,,,,,,,,,,,1
"умный, опытный",1,,,,,,,,,,,,,ГОВЗУ,native,,,,,,,1
"умный, сообразительный",1,,,,,,,Ц¯|ОДОРО'/Б,native,,,,,,,,,,,,,1
умолкать,1,,,,,,,,,,,с̄и'хIикъотIило̄/рулъIа,native,,,,,,,,,1
умора,1,,,,,,,,,ке́пла-бекъипла,arab,,,,,,,,,,,1
умственная зрелость,1,ЩĪ́ЕДАР,native,,,,,,,,,,,,,,,,,,,1
умственно неполноценнй,1,,,,,,,,,,,тIуба'лилъIа/б/е,native,,,,,,,,,1
умственно отсталый,2,,,,,,,,,,,алахIа/б/е,native,,,,,,,,,1
умывание,1,,,,,,,,,,,ча'бе,native,,,,,,,,,1
умываться,1,,,,,,,,,,,чо̄'/рулъIа,native,,,,,,,,,1
умыкать,1,,,,,,,,,,,хъо̄'нулъIа,native,,,,,,,,,1
умысел,1,,,,,,,,,,,хIил̄а',native,,,,,,,,,1
умышленный,1,,,,,,,,,ургъа́дассуб,native,,,,,,,,,,,1
умять,1,,,,,,,,,тIибда́й,native,,,,,,,,,,,1
умяться,1,,,,,,,,,тIибди́,native,,,,,,,,,,,1
универмаг,1,,,,,УНИВЕРМÁГ/И,rus,,,,,,,,,,,,,,,1
унижать,4,,,,,,,,,,,хIакъигу'рулъIа,arab,,,,,,,,,1
унижать,3,ХIАКЪ́ИРДЖ̄И/ЛА,native,,,,,,,,,,,,,,,,,,,1
унижать,2,,,,,,,,,,,,,,,,,,,ХIАКЪИ́РИГЬ/ИЛЪ’А,arab,1
"унижать; оскорблять, издеваться",1,,,,,,,ХЪАКЪИРА¯/ЛЪА,native,,,,,,,,,,,,,1
унижаться,3,,,,,ХIАКЪИРЛЪИ́,arab,,,,,,,,,,,,,,,1
унижение,2,,,къаби́хIир,arab,,,,,,,,,,,,,,,,,1
униженный,1,,,,,,,,,,,,,,,,,ХIАКЪИ́РАБ,arab,,,1
унизить,1,,,,,,,,,хIакъи́р(и)гьи́,arab,,,,,,,,,,,1
унимать,2,КЪ̄́Е/Б/УКIА/ЙЛА,native,,,,,,,,,,,,,,,,,,,1
униматься,1,КЪ̄́Е/Б/УКIУ/ЛА,native,,,,,,,,,,,,,,,,,,,1
униматься; переставать,1,,,,,,,,,,,,,,,,,,,СОКÓБА/КIВИЛЪ’А,native,1
униформа,1,ПÓРМА,rus,,,,,,,,,,,,,,,,,,,1
уничтожать еду,1,,,,,ГЪУРДИ́,native,,,,,,,,,,,,,,,1
"уничтожать, истреблять",1,,,,,,,Т|АГ|/А¯'ЛЪА,native,,,,,,,,,,,,,1
уничтожаться,1,,,,,,,,,,,,,,,,,,,Б/ÉТIВ/ИЛЪ’А²,native,1
уничтожение,2,,,,,,,,,,,кьIо'къIайе,native,,,,,,,,,1
уничтожение,1,Б/ИЧIÁЛАР,native,,,,,,,,,,,,,,,,,,,1
уничтожение,5,,,,,,,,,тIа́гIир,native,,,,,,,,,,,1
уничтожение,3,,,,,,,,,,,,,,,,,,,ГЪУ́РИЙАР,native,1
"уничтожение, истребление, ликвидация",1,,,,,,,Т|АГ|Е¯'Р,native,,,,,,,,,,,,,1
унос,2,,,,,,,,,,,хъа,native,,,,,,,,,1
"унос, увод; похищение",1,,,,,,,ХЪАМЕ'Р,native,,,,,,,,,,,,,1
уносить,2,,,,,,,,,,,,,,,,,,,ХЪÁНИЛЪА,native,1
уносить что-л.,1,,,,,,,,,,,,,,,,,ЛЪИЛЪА̅ЛА,native,,,1
"уносить, быть унесенным",1,,,,,,,ХЪА'М/АЛЪА,native,,,,,,,,,,,,,1
унывать,1,,,,,,,,,щинтIи́,native,,,,,,,,,,,1
унылый,1,,,,,,,,,щинтIо́,native,,,,,,,,,,,1
унять,1,Б/УГЬÁ/ЙЛА,native,,,,,,,,,,,,,,,,,,,1
упавший,1,,,,,,,,,букк=а́б,native,,,,,,,,,,,1
упереться,1,,,,,,,,,,,,,,,,,,,КЬÉГЪ/ИᴴЛЪ’А,native,1
упираться,1,,,,,,,,,,,тIе'кълъило̄/рулъIа,native,,,,,,,,,1
упираться во что-л.,1,,,,,,,,,,,,,,,,,,,КЬÉГЪ/ИᴴЛЪ’А,native,1
упитанный,6,,,,,,,,,,,ча'ра/б/е,native,,,,,,,,,1
упитанный,3,ЩОБАРÁ/Б,native,,,,,,,,,,,,,,,,,,,1
упитанный (о животном),1,Б/ЕЩÁ/Б,native,,,,,,,,,,,,,,,,,,,1
упитанный в теле,1,,,,,,,,,,,,,,,,,РУХI-ХIАЛЧIАНИС,native,,,1
уплата налога,2,,,,,,,,,,,с̄а'хIе̄хъе,native,,,,,,,,,1
уплачивать налог,2,,,,,,,,,,,с̄ахIе̄хъу'/рулъIа,native,,,,,,,,,1
уплотнение,3,,,,,,,,,,,кьIи'байе,native,,,,,,,,,1
уплотнение,2,Б/́ИСИСАР,native,,,,,,,,,,,,,,,,,,,1
уплотнение,4,,,тIибтIид/и́р,native,,,,,,,,,,,,,,,,,1
уплотнение,1,,,,,,,,,,,,,,,,,,,Б/И́СИЙАР,native,1
уплотнение на теле,1,,,къва́нкIар/а,native,,,,,,,,,,,,,,,,,1
уплотнять,1,Б/́ИСИ/ЛА,native,,,,,,,,,,,,,,,,,,,1
уплотнять; плотно закрывать,1,,,,,,,Ч¯|А'Т|А¯/ЛЪА,native,,,,,,,,,,,,,1
уподобление,2,,,,,,,,,,,эᴴ'лъ̄ех̄вайе,native,,,,,,,,,1
уподоблять,3,,,,,,,,,,,э'лъ̄о̄/нулъIа,native,,,,,,,,,1
уподоблять чему-то,1,,,,,,,БАЛ¯Ъ¯А'ᴴ/ЛЪА,native,,,,,,,,,,,,,1
уподобляться женщине,1,,,,,ЙАШИКIВАМАХIАЛЪИРЛЪИ́,native,,,,,,,,,,,,,,,1
уподобляться кому-то,1,,,,,,,БАЛ¯Ъ¯/Аᴴ/ЛЪА',native,,,,,,,,,,,,,1
"уполовник, черпак",1,,,,,,,,,,,,,ГЕММА,native,,,,,,,1
упоминание вскольз,1,,,,,,,,,,,,,,,,,,,ТУНÁР²,native,1
упоминать вскользь,1,,,,,,,,,,,б/ух̄о̄'/рулъIа,native,,,,,,,,,1
упомнание,1,,,,,,,,,,,,,,,,,,,Б/У̀ХУХАР²,native,1
упорядочение,1,,,,,,,,,гIа́длачир,arab,,,,,,,,,,,1
упорядочиться,1,,,,,,,,,гIа́дла,arab,,,,,,,,,,,1
употребительный,1,,,,,,,,,хьвада́йхаб,native,,,,,,,,,,,1
употребление,1,,,,,,,,,,,хе̄бе'хе,native,,,,,,,,,1
употребление чего-л. в пищу,1,,,,,,,,,,,,,,,,,,,КЪÀКЪАНАР,native,1
употреблять,2,,,,,,,,,,,хе̄/б/еху'/рулъIа,native,,,,,,,,,1
"управление, учреждение",1,,,,,,,,,,,,,ИДАРА,arab,,,,,,,1
упразднять,1,́ЭЩИ/ЛА¹,native,,,,,,,,,,,,,,,,,,,1
упрек,2,,,,,,,,,,,къIе'лаᴴцĪе,native,,,,,,,,,1
упрек,3,ГIÁЙБЧIВАЙДАР,arab,,,,,,,,,,,,,,,,,,,1
упрекание,1,,,,,,,,,,,,,КӀОЛРАЦӀЦӀИН,native,,,,,,,1
упрекать,2,ГIАЙБЧIВÁЙДИ/ЛА,arab,,,,,,,,,,,,,,,,,,,1
упростить,1,,,,,,,,,гIа́да-мада́таб,native,,,,,,,,,,,1
упрочить,1,,,,,,,,,,,,,БЕЩАБЕКЬАЙДУ,native,,,,,,,1
упрочиться,3,,,,,,,,,,,,,ЦӀИЛКЪИННУ,native,,,,,,,1
"упрочиться, закрепиться; обосноваться",1,,,,,,,ЩЕБЕЛЪ/АЛЪА',native,,,,,,,,,,,,,1
упрощаться,1,,,,,,,,,,,бигьа'лъило̄/рулъIа,native,,,,,,,,,1
упругий,1,,,,,,,,,щи́рду,native,,,,,,,,,,,1
упругость,1,КЬÉГЪАᴴР,native,,,,,,,,,,,,,,,,,,,1
упряжка,2,,,,,,,,,э́тир,native,,,,,,,,,,,1
упряжь,2,,,,,,,,,кьеркье́л-къай,native,,,,,,,,,,,1
упрямец,1,,,,,КЪУСÉН,native,,,,,,,,,,,,,,,1
упрямство,2,,,,,,,,,,,тIе'кълъилайе,native,,,,,,,,,1
упрямство,3,,,,,МИ́КЪИЛЪИ,native,,,,,,,,,,,,,,,1
упрямствовать,1,,,,,,,,,,,тIе'кълъило̄/рулъIа,native,,,,,,,,,1
упрямый отказ,1,,,,,,,,,,,,,,,,,,,КЬÉГЪАᴴР,native,1
упускать,2,,,,,,,,,,,ту'хлъило̄/рулъIа,native,,,,,,,,,1
упускать,1,Б/́УХIУ/ЛА,native,,,,,,,,,,,,,,,,,,,1
упустить,1,,,,,ТУ́ХИЛЪИ,native,,,,,,,,,,,,,,,1
упущение,1,,,,,,,,,гъала́тI,arab,,,,,,,,,,,1
"упущение, небрежность",1,,,,,,,ТОХЛЪЕ'Р,native,,,,,,,,,,,,,1
упущения,1,,,гIунгу́тI/и,native,,,,,,,,,,,,,,,,,1
упущенный,1,,,,,,,,,,,,,,,,,,,ДЖАГЪАНУ́/Б-ГЪАЛАТIА/Б,native,1
ура,1,,,,,,,,,,,,,ГЬУРРА,native,,,,,,,1
уравнивание,3,,,,,,,,,бекъини́р,native,,,,,,,,,,,1
уравниваться,1,,,,,,,,,,,мекъелъу'/нулъIа,native,,,,,,,,,1
"уравниваться, сравниваться",1,,,,,,,РЕКЪЕ'ᴴЛЪ/АЛЪА,native,,,,,,,,,,,,,1
уравнививание,1,,,,,,,,,бекъина́йр,native,,,,,,,,,,,1
уравни­тельный,1,,,,,,,,,бекъина́йха=б,native,,,,,,,,,,,1
уравнять,1,,,,,ЦÉЛЪЛЪИХА: ЦÉЛЪЛЪИХА БУККАЛИ́,native,,,,,,,,,,,,,,,1
уран,1,,,,,,,,,ура́н,rus,,,,,,,,,,,1
урачать,1,,,,,,,,,,,,,,,,,,,ГЪВАГЪВÁР/ӢЛЪ’А,native,1
"урбеч (вязкая масса из молотых семян льна, конопли, ядер абрикосовых косточек или орехов)",1,,,,,,,,,,,,,,,,,,,БЕЧIАТIУ́БЕЙĀ,native,1
урод,1,,,коцо́къ,native,,,,,,,,,,,,,,,,,1
уродина,1,ГЪВАРÁЖА,native,,,,,,,,,,,,,,,,,,,1
уродить,1,,,,,,,,,ванха́й,native,,,,,,,,,,,1
уродиться,1,,,,,,,,,ванхи́,native,,,,,,,,,,,1
урожай зерновых,2,,,у́рщал,native,,,,,,,,,,,,,,,,,1
урожай злаковых,1,ÓЩИЛ,native,,,,,,,,,,,,,,,,,,,1
"урожай, зерно",1,,,,,,,,,,,,,ГЬАЛБАХЪИН,native,,,,,,,1
"урожай, зерновой хлеб",1,,,,,,,,,,,,,ХУР,native,,,,,,,1
урок,2,,,,,,,,,,,,,ДАРССИ,arab,,,,,,,1
урок (школьный),1,,,,,,,ДА'РЦЕ,arab,,,,,,,,,,,,,1
уроки жизни,1,,,,,,,ДА'РЦЕ,arab,,,,,,,,,,,,,1
урчание,2,,,,,КЪВАРКЪВÁСИ,native,,,,,,,,,,,,,,,1
урчать (в желудке),1,,,,,,,КЪУКЪУ'Р/А¯ЛЪА,native,,,,,,,,,,,,,1
"урывать что-л., у кого-л.",1,,,,,,,,,,,,,,,,,,,Б/ЕТIВ/Ā́ЙЛЪ’А¹,native,1
ус,2,,,ми́хъ/и,native,,,,,,,,,,,,,,,,,1
усадить,1,,,а́чи,native,,,,,,,,,,,,,,,,,1
усаживание; высаживание,1,,,,,,,,,,,,,,,,,,,РÉШТИЙАЛАР,native,1
усаживать,4,,,,,,,,,,,гъаде'кIусо̄/рулъIа,native,,,,,,,,,1
усаживать,1,ХIАЩIА/Б/АКIВÁ/ЙЛА,native,,,,,,,,,,,,,,,,,,,1
усаживать кого-л.,1,,,,,,,,,,,,,,,,,,,ГЬАЧ̅И́/БА/КIВ/ĀЙЛЪ’А,native,1
усваивать (пищу),1,,,,,Б/И́ЦIАЛИ,native,,,,,,,,,,,,,,,1
"усваивать, усваиваться",1,,,,,,,,,,,,,ДУРУННУ,native,,,,,,,1
усваиваться,1,,,,,,,,,,,,,,,,,,,РÉГЬ/ӢЙЛЪ’А,native,1
усвоение,3,,,,,,,,,,,,,,,,,,,Б/ЍЦIИЦIАР,native,1
усвоение знаний,1,РУГЬ́УНЛГЬАР,native,,,,,,,,,,,,,,,,,,,1
усвоение навыков,1,,,,,,,,,,,,,,,,,,,РУХУ́ᴴЛЪАР,native,1
усвоить,1,,,,,,,,,бегъа́й,native,,,,,,,,,,,1
усвояемость,3,,,,,,,,,,,,,,,,,,,РÉГЬИЙАР,native,1
усердие,1,,,,,,,,,,,бас̄а'рилайе,native,,,,,,,,,1
усердно,1,,,,,ГЬИЛÁБИГЪУ,native,,,,,,,,,,,,,,,1
усердно браться за что-либо,1,,,,,,,,,,,,,,,,,,,АХÁЛЪ/ИЛЪА,native,1
усердно чистить,1,,,,,,,,,,,,,,,,,КОЧА̅НА,native,,,1
усердный,1,,,,,,,,,вигъихо́,native,,,,,,,,,,,1
усердствовать,2,,,,,,,,,,,кьIадо/б/е'гъу/рулъIа,native,,,,,,,,,1
усердствовать,1,ТIЕТIÁЩИ/ЛА,native,,,,,,,,,,,,,,,,,,,1
усики,1,,,,,,,,,,,,,,,,,КВАРВ,native,,,1
"усики (на виноградной лозе, на тыквенной и огуречной плети, на фасоли)",1,,,,,,,,,,,,,,,,,,,БÉРДА,native,1
усиление,2,,,,,,,,,,,,,,,,,,,ХЪЕЧIИ́ЛЪАР,native,1
усиление (звука радио),1,Р́УДАР,native,,,,,,,,,,,,,,,,,,,1
усиление активности,1,,,,,,,,,,,багIа'рилайе,native,,,,,,,,,1
усиленно биться,1,,,,,,,,,,,,,,,,,,,ШАШВĀ́,native,1
"усиливать, повышать, увеличивать",1,,,,,,,ГЬАЛАГА¯'/ЛЪА,native,,,,,,,,,,,,,1
усиливаться (о слышимости радио),1,Р́УДИ/ЛА,native,,,,,,,,,,,,,,,,,,,1
"усиливаться, увеличиваться, повышаться",1,,,,,,,ГЬА'ЛАГЛЪ/АЛЪА,native,,,,,,,,,,,,,1
усилит,1,,,,,,,,,,,,,,,,,-КIО̅ХЪ,native,,,1
усилить,1,,,,,,,,,цIцIикIкIа́й,native,,,,,,,,,,,1
усилить деятельность,1,,,,,,,,,,,,,,,,,БАГIА́РДА̅ЛА,native,,,1
усилять деятельность,1,,,,,,,,,,,багIа'рило̄/рулъIа,native,,,,,,,,,1
ускользание,2,Б/УХÍУХIАР,native,,,,,,,,,,,,,,,,,,,1
усколь­знуть,1,,,,,,,,,б=орчIи́,native,,,,,,,,,,,1
ускорить,1,,,,,,,,,ххе́ххай,native,,,,,,,,,,,1
ускориться,1,,,,,,,,,ххе́ххи,native,,,,,,,,,,,1
"ускорять, убыстрять; учащать",1,,,,,,,Х¯ЕХ¯А¯'/ЛЪА,native,,,,,,,,,,,,,1
"ускоряться, учащаться",1,,,,,,,Х¯ЕХ¯А'ЛЪ/АЛЪА,native,,,,,,,,,,,,,1
услужение,1,,,,,,,,,,,с̄и'ги/б/ешахъе,native,,,,,,,,,1
услышать,1,,,,,,,,,аᴴгьи́,native,,,,,,,,,,,1
усмехаться,1,,,,,,,,,,,хьийу'/рулъIа,native,,,,,,,,,1
усмехнуться,1,,,,,,,,,гьимди́,native,,,,,,,,,,,1
усмешка,1,,,,,,,,,,,хьи'йе,native,,,,,,,,,1
"усмирять, унимать",1,,,,,,,,,,,,,,,,,,,СОКОБАКІВĀ́ЙЛЪ’А,native,1
уснуть,2,,,гъу́нду,native,,,,,,,,,,,,,,,,,1
усовершенствование,1,,,,,,,,,гва́нзайр,native,,,,,,,,,,,1
успевать,2,,,,,,,,,,,хъIедо'къIунулъIа,native,,,,,,,,,1
успевать,1,,,,,,,РЕГ|/А¯'ЛЪА,native,,,,,,,,,,,,,1
успевать вовремя,1,,,,,,,,,,,б/а'цIило̄/рулъIа,native,,,,,,,,,1
успех,3,,,,,,,,,,,,,ХЪУЛАН,native,,,,,,,1
"успешный, успешно",1,,,,,,,,,,,,,ЛӀУЭЛ,native,,,,,,,1
успокаивание,1,,,,,,,,,,,б/ачве',native,,,,,,,,,1
успокаиваться,3,,,,,,,,,,,щущу'тIу/рулъIа,native,,,,,,,,,1
успокаивающий,1,,,,,,,,,в=акъа́йхаб,native,,,,,,,,,,,1
успокоение,3,,,,,,,,,,,чичилъе',native,,,,,,,,,1
